A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
b,22.67,0.165,g,c,j,2.25,f,f,0,t,s,0,1,+
a,23.42,0.79,p,q,bb,1.5,t,t,2,t,g,80,401,+
a,30.0,5.29,g,e,dd,2.25,t,t,5,t,g,99,501,+
a,40.33,7.54,p,q,h,8.0,t,t,14,f,g,0,2301,+
a,36.75,5.125,g,e,bb,5.0,t,f,0,t,g,0,4001,+
b,31.0,2.085,g,c,bb,0.085,f,f,0,f,g,300,1,-
a,25.17,2.875,g,x,h,0.875,t,f,0,f,g,360,1,+
b,27.42,12.5,g,aa,v,0.25,f,f,0,t,g,720,1,-
b,31.57,4.0,g,x,bb,5.0,t,t,3,t,g,290,2280,+
b,34.08,6.5,g,aa,bb,0.125,t,f,0,t,g,443,1,-
b,22.08,2.335,g,k,bb,0.75,f,f,0,f,g,180,1,-
b,31.08,3.085,g,c,bb,2.5,f,t,2,t,g,160,42,-
b,31.57,0.5,g,c,v,0.835,t,f,0,t,s,320,1,-
b,16.0,3.125,g,w,bb,0.085,f,t,1,f,g,0,7,-
b,27.25,1.665,g,cc,h,5.085,t,t,9,f,g,399,828,+
b,25.17,3.0,g,c,bb,1.25,f,t,1,f,g,0,23,-
b,67.75,5.5,g,e,z,13.0,t,t,1,t,g,0,1,+
a,18.83,9.5,g,w,bb,1.625,t,t,6,t,g,40,601,+
a,27.25,0.29,g,m,h,0.125,f,t,1,t,g,272,109,-
a,19.58,0.665,p,c,bb,1.0,f,t,1,f,g,2000,3,-
b,30.75,1.585,g,d,bb,0.585,f,f,0,t,s,0,1,-
a,50.25,0.835,g,aa,bb,0.5,f,f,0,t,g,240,118,-
b,31.08,1.5,p,w,bb,0.04,f,f,0,f,s,160,1,-
b,51.58,15.0,g,c,bb,8.5,t,t,9,f,g,0,1,+
a,36.58,0.29,g,ff,ff,0.0,f,t,10,f,g,200,19,-
b,33.58,2.75,g,m,bb,4.25,t,t,6,f,g,204,1,+
a,20.83,3.0,g,aa,bb,0.04,t,f,0,f,g,100,1,+
b,36.17,18.125,g,w,bb,0.085,f,f,0,f,g,320,3553,-
b,50.75,0.585,g,ff,ff,0.0,f,f,0,f,g,145,1,-
a,23.58,0.83,g,q,bb,0.415,f,t,1,t,g,200,12,-
b,35.17,4.5,g,x,h,5.75,f,f,0,t,s,711,1,+
a,58.42,21.0,g,i,v,10.0,t,t,13,f,g,0,6701,+
b,28.25,0.875,g,m,bb,0.96,t,t,3,t,g,396,1,+
b,31.57,0.625,g,k,bb,0.25,f,f,0,f,g,380,2011,-
a,31.75,3.0,p,j,j,0.0,f,f,0,f,g,160,21,-
b,19.42,6.5,g,w,h,1.46,t,t,7,f,g,80,2955,+
b,39.08,6.0,g,m,bb,1.29,t,t,5,t,g,108,1098,+
b,17.08,3.29,g,i,bb,0.335,f,f,0,t,g,140,3,-
b,44.83,7.0,p,c,bb,1.625,f,f,0,f,g,160,3,-
b,16.25,0.0,p,aa,bb,0.25,f,f,0,f,g,60,1,-
a,41.17,6.5,g,q,bb,0.5,t,t,3,t,g,145,1,+
b,28.92,15.0,g,c,h,5.335,t,t,11,f,g,0,2284,+
a,26.17,2.0,g,j,j,0.0,f,f,0,t,g,276,2,-
b,38.58,3.335,g,w,bb,4.0,t,t,14,f,g,383,1345,+
b,25.17,6.0,g,c,bb,1.0,t,t,3,f,g,0,1,+
a,28.17,0.375,g,q,bb,0.585,t,t,4,f,g,80,1,+
b,73.42,17.75,g,ff,ff,0.0,t,f,0,t,g,0,1,+
b,22.5,11.5,p,m,bb,1.5,f,f,0,t,g,0,4001,-
a,27.17,1.25,g,ff,ff,0.0,f,t,1,f,g,92,301,-
a,19.17,8.585,g,cc,h,0.75,t,t,7,f,g,96,1,+
a,25.58,0.0,g,c,bb,0.0,f,f,0,f,p,184,1,+
b,31.57,0.04,p,d,bb,4.25,f,f,0,t,g,460,1,-
a,22.5,8.5,g,q,bb,1.75,t,t,10,f,g,80,991,-
a,22.92,1.25,g,q,bb,0.25,f,f,0,t,g,120,810,-
b,23.25,12.625,g,c,bb,0.125,f,t,2,f,g,0,5553,-
a,29.5,1.085,p,x,bb,1.0,f,f,0,f,g,280,14,-
a,32.0,6.0,g,d,bb,1.25,f,f,0,f,g,272,1,-
b,27.0,1.5,p,w,bb,0.375,t,f,0,t,g,260,1066,+
b,19.33,10.915,g,c,v,0.585,f,t,2,t,g,200,8,-
b,35.75,2.415,g,w,bb,0.125,f,t,2,f,g,220,2,-
b,18.83,0.0,g,q,bb,0.665,f,f,0,f,g,160,2,-
a,28.75,3.75,g,c,bb,1.085,t,t,1,t,g,371,1,+
b,34.42,4.25,g,i,v,3.25,t,t,2,f,g,274,611,+
a,33.25,3.0,p,aa,bb,2.0,f,f,0,f,g,180,1,-
b,53.92,9.625,g,e,bb,8.665,t,t,5,f,g,0,1,+
b,25.25,1.0,g,aa,bb,0.5,f,f,0,f,g,200,1,-
b,32.42,2.165,p,k,ff,0.0,f,f,0,f,g,120,1,-
a,21.08,5.0,p,ff,ff,0.0,f,f,0,f,g,0,1,-
a,56.5,16.0,g,j,ff,0.0,t,t,15,f,g,0,248,+
b,32.25,0.165,p,c,h,3.25,t,t,1,t,g,432,8001,+
a,20.5,11.835,g,c,h,6.0,t,f,0,f,g,340,1,+
a,30.25,5.5,g,k,bb,5.5,f,f,0,t,s,100,1,-
a,24.58,0.67,g,aa,h,1.75,t,f,0,f,g,400,1,-
b,23.17,11.125,g,x,h,0.46,t,t,1,f,g,100,1,+
a,31.57,11.25,g,ff,ff,0.0,f,f,0,f,g,184,5201,-
a,32.33,0.54,g,cc,bb,0.04,t,f,0,f,g,440,11178,+
b,23.92,1.5,g,d,h,1.875,t,t,6,f,g,200,328,+
b,36.75,0.125,p,c,bb,1.5,f,f,0,t,g,232,114,+
b,29.83,1.25,p,k,bb,0.25,f,f,0,f,g,224,1,-
a,24.08,0.5,g,q,h,1.25,t,t,1,f,g,0,679,+
b,21.17,0.25,p,c,h,0.25,f,f,0,f,g,280,205,-
b,31.42,15.5,g,c,bb,0.5,t,f,0,f,g,120,1,-
b,22.83,3.0,g,m,bb,1.29,t,t,1,f,g,260,801,+
b,37.5,1.75,p,c,v,0.25,t,f,0,t,g,164,401,-
a,24.83,4.5,g,w,bb,1.0,f,f,0,t,g,360,7,-
b,36.33,3.79,g,w,bb,1.165,t,f,0,t,g,200,1,-
a,47.25,0.75,g,q,h,2.75,t,t,1,f,g,333,893,+
b,32.08,4.0,p,cc,bb,1.5,f,f,0,t,g,120,1,-
a,30.58,10.665,g,q,h,0.085,f,t,12,t,g,129,4,-
b,27.83,1.54,g,w,bb,3.75,t,t,5,t,g,100,4,+
b,54.83,15.5,g,e,z,0.0,t,t,20,f,g,152,131,-
b,16.08,0.75,g,c,bb,1.75,t,t,5,t,g,352,691,+
b,24.58,12.5,g,w,bb,0.875,t,f,0,t,g,260,1,-
b,32.67,5.5,g,q,h,5.5,t,t,12,t,g,408,1001,+
b,30.17,0.5,g,c,bb,1.75,t,t,11,f,g,32,541,+
b,22.25,0.46,g,k,bb,0.125,f,f,0,t,g,280,56,-
b,41.75,0.96,g,x,bb,2.5,t,f,0,f,g,510,601,+
b,36.67,2.0,g,i,bb,0.25,f,f,0,t,g,221,1,-
b,25.83,12.835,g,cc,bb,0.5,f,f,0,f,g,0,3,-
b,29.92,1.835,g,c,h,4.335,t,f,0,f,g,260,201,+
b,20.08,0.25,g,q,bb,0.125,f,f,0,f,g,200,1,-
b,19.67,0.375,g,q,bb,2.0,t,t,2,t,g,80,1,+
b,51.42,0.04,g,x,h,0.04,t,f,0,f,g,0,3001,+
b,62.75,7.0,g,e,z,0.0,f,f,0,f,g,0,13,-
b,40.58,3.29,g,m,bb,3.5,f,f,0,t,s,400,1,-
a,16.33,0.21,g,aa,bb,0.125,f,f,0,f,g,200,2,-
b,29.5,0.58,g,w,bb,0.29,f,t,1,f,g,340,2804,-
b,34.0,4.5,g,aa,bb,1.0,t,f,0,t,g,240,1,-
a,71.58,0.0,g,c,bb,0.0,f,f,0,f,p,184,1,+
b,42.0,0.205,g,i,h,5.125,t,f,0,f,g,400,1,+
a,22.5,11.0,p,q,bb,3.0,t,f,0,t,g,268,1,-
b,24.42,2.0,g,e,dd,0.165,f,t,2,f,g,320,1301,-
b,44.33,0.5,g,i,h,5.0,t,f,0,t,g,320,1,+
a,23.0,11.75,g,x,h,0.5,t,t,2,t,g,300,552,+
b,34.42,1.335,g,i,v,0.125,f,f,0,t,g,440,4501,-
b,23.08,11.5,g,i,bb,3.5,t,t,9,f,g,56,743,+
b,25.92,0.875,g,k,bb,0.375,f,t,2,t,g,174,4,-
a,17.58,9.0,g,aa,bb,1.375,t,f,0,t,g,0,1,+
b,20.42,1.085,g,q,bb,1.5,f,f,0,f,g,108,8,-
b,31.67,16.165,g,d,bb,3.0,t,t,9,f,g,250,731,+
a,57.58,2.0,g,ff,ff,6.5,f,t,1,f,g,0,11,-
b,59.67,1.54,g,q,bb,0.125,t,f,0,t,g,260,1,+
a,65.17,14.0,g,ff,ff,0.0,t,t,11,t,g,0,1401,+
b,30.08,1.04,p,i,v,0.5,t,t,10,t,g,132,29,-
b,48.58,6.5,g,q,h,6.0,t,f,0,t,g,350,1,+
a,23.58,11.5,p,k,h,3.0,f,f,0,t,g,20,17,-
b,20.17,9.25,g,c,bb,1.665,t,t,3,t,g,40,29,+
b,48.17,7.625,g,w,h,15.5,t,t,12,f,g,0,791,+
b,23.25,1.5,g,q,bb,2.375,t,t,3,t,g,0,583,+
b,32.25,14.0,p,ff,ff,0.0,f,t,2,f,g,160,2,-
b,33.58,0.335,p,cc,bb,0.085,f,f,0,f,g,180,1,-
b,23.58,0.46,p,w,bb,2.625,t,t,6,t,g,208,348,-
b,16.92,0.335,p,k,bb,0.29,f,f,0,f,s,200,1,-
a,20.83,8.5,g,c,bb,0.165,f,f,0,f,g,0,352,-
a,60.58,16.5,g,q,bb,11.0,t,f,0,t,g,21,10562,+
b,31.57,5.0,p,aa,bb,8.5,t,f,0,f,g,0,1,-
a,25.0,12.33,g,cc,h,3.5,t,t,6,f,g,400,459,+
b,21.5,9.75,g,c,bb,0.25,t,f,0,f,g,140,1,-
b,20.42,0.0,g,c,bb,0.0,f,f,0,f,p,184,1,-
a,25.25,13.5,p,ff,ff,2.0,f,t,1,t,g,200,2,-
b,42.83,4.625,g,q,bb,4.58,t,f,0,f,s,0,1,+
b,26.67,1.75,p,c,bb,1.0,t,t,5,t,g,160,5778,+
b,57.83,7.04,g,m,bb,14.0,t,t,6,t,g,360,1333,+
b,55.92,11.5,g,ff,ff,5.0,t,t,5,f,g,0,8852,+
b,51.33,10.0,g,i,v,0.0,t,t,11,f,g,0,1250,+
b,39.83,0.5,g,m,bb,0.25,t,f,0,f,s,288,1,-
b,27.58,2.04,p,aa,bb,2.0,t,t,3,t,g,370,561,+
b,30.17,6.5,g,cc,bb,3.125,t,t,8,f,g,330,1201,+
b,51.83,2.04,p,ff,ff,1.5,f,f,0,f,g,120,2,-
a,25.0,11.0,p,aa,bb,4.5,t,f,0,f,g,120,1,-
b,29.67,0.75,p,c,bb,0.04,f,f,0,f,g,240,1,-
a,33.67,0.375,g,cc,bb,0.375,f,f,0,f,g,300,45,+
b,25.75,0.75,g,c,v,0.25,t,f,0,f,g,349,24,+
a,28.67,1.04,g,c,bb,2.5,t,t,5,t,g,300,1431,+
a,18.08,0.375,gg,cc,ff,10.0,f,f,0,t,s,300,1,+
b,20.42,7.0,g,c,bb,1.625,t,t,3,f,g,200,1392,+
b,17.5,22.0,gg,ff,o,0.0,f,f,0,t,p,450,100001,+
b,18.08,6.75,p,m,bb,0.04,f,f,0,f,g,140,1,-
b,47.67,2.5,g,m,v,2.5,t,t,12,t,g,410,2511,+
b,57.42,8.5,g,e,h,7.0,t,t,3,f,g,0,1,+
b,13.75,4.0,p,w,bb,1.75,t,t,2,t,g,120,1001,+
b,19.33,9.5,g,q,bb,1.0,t,f,0,t,g,60,401,+
a,21.92,11.665,g,k,h,0.085,f,f,0,f,g,320,6,-
b,17.58,10.0,g,w,h,0.165,f,t,1,f,g,120,2,-
b,34.83,2.5,p,w,bb,3.0,f,f,0,f,s,200,1,-
b,29.17,3.5,g,w,bb,3.5,t,t,3,t,g,329,1,-
b,21.42,0.75,p,r,o,0.75,f,f,0,t,g,132,3,-
b,18.17,10.25,g,c,h,1.085,f,f,0,f,g,320,14,-
b,28.0,3.0,g,w,bb,0.75,f,f,0,t,g,300,68,-
a,45.83,10.5,g,q,bb,5.0,t,t,7,t,g,0,1,+
b,22.75,11.5,g,i,bb,0.415,f,f,0,f,g,0,1,-
a,31.57,3.5,g,d,bb,3.0,t,f,0,t,g,300,1,-
a,20.42,7.5,g,k,bb,1.5,t,t,1,f,g,160,235,+
a,21.25,2.335,g,i,v,0.5,t,t,4,f,s,80,1,+
b,26.67,4.25,g,cc,bb,4.29,t,t,1,t,g,120,1,+
a,27.33,1.665,g,ff,ff,0.0,f,f,0,f,g,340,2,-
b,42.08,1.04,g,w,bb,5.0,t,t,6,t,g,500,10001,+
a,18.25,10.0,g,w,bb,1.0,f,t,1,f,g,120,2,-
a,28.5,1.0,g,q,bb,1.0,t,t,2,t,g,167,501,-
a,21.5,6.0,g,aa,bb,2.5,t,t,3,f,g,80,919,+
b,21.83,11.0,g,x,bb,0.29,t,t,6,f,g,121,1,+
b,21.92,0.5,g,c,bb,0.125,f,f,0,f,g,360,1,-
b,32.67,9.0,p,w,h,5.25,t,f,0,t,g,154,1,+
a,45.33,1.0,g,q,bb,0.125,f,f,0,t,g,263,1,-
a,23.58,0.585,p,ff,ff,0.125,f,f,0,f,g,120,88,-
a,17.92,0.54,g,c,bb,1.75,f,t,1,t,g,80,6,-
b,33.0,2.5,p,w,bb,7.0,f,f,0,t,g,280,1,-
a,22.67,0.335,g,q,bb,0.75,f,f,0,f,s,160,1,-
b,34.67,1.08,g,m,bb,1.165,f,f,0,f,s,28,1,-
b,29.67,1.415,g,w,h,0.75,t,t,1,f,g,240,101,+
b,31.83,2.5,g,aa,bb,7.5,t,f,0,t,g,523,1,-
a,20.67,1.835,g,q,bb,2.085,t,t,5,f,g,220,2504,+
b,33.75,2.75,g,i,v,0.0,f,f,0,f,g,180,1,-
b,22.08,0.83,g,c,h,2.165,f,f,0,t,g,128,1,+
a,35.42,12.0,g,q,h,14.0,t,t,8,f,g,0,6591,+
b,31.92,4.46,g,cc,h,6.04,t,t,3,f,g,311,301,+
a,22.67,0.79,g,i,bb,0.085,f,f,0,f,g,144,1,-
b,26.67,14.585,g,i,v,0.0,f,f,0,t,g,178,1,-
b,44.0,2.0,g,m,bb,1.75,t,t,2,t,g,0,16,+
b,30.17,1.085,p,c,bb,0.04,f,f,0,f,g,170,180,-
b,37.75,7.0,g,q,h,11.5,t,t,7,t,g,300,6,-
b,17.08,0.085,p,c,bb,0.04,f,f,0,f,g,140,723,-
b,49.17,2.29,g,ff,ff,0.29,f,f,0,f,g,200,4,-
b,22.92,0.17,g,m,bb,0.085,f,f,0,f,s,0,1,-
a,34.83,1.25,p,i,h,0.5,f,f,0,t,g,160,1,-
b,44.25,11.0,p,d,bb,1.5,t,f,0,f,s,0,1,-
b,59.5,2.75,g,w,bb,1.75,t,t,5,t,g,60,59,+
b,25.5,0.375,g,m,bb,0.25,t,t,3,f,g,260,15109,+
a,41.58,1.04,g,aa,bb,0.665,f,f,0,f,g,240,238,-
b,49.58,19.0,g,ff,ff,0.0,t,t,1,f,g,94,1,-
a,33.92,1.585,p,ff,ff,0.0,t,f,0,f,g,320,1,-
b,19.17,4.0,p,i,bb,1.0,f,f,0,t,g,360,1001,-
a,24.5,2.415,p,c,bb,0.0,f,f,0,f,g,120,1,-
b,23.33,1.5,g,c,h,1.415,t,f,0,f,g,422,201,+
b,69.17,9.0,g,ff,ff,4.0,f,t,1,f,g,70,7,-
b,47.67,0.29,g,c,v,15.0,t,t,20,f,g,0,15001,+
a,33.25,2.5,p,c,bb,2.5,f,f,0,t,g,0,3,-
b,43.25,3.0,g,q,h,6.0,t,t,11,f,g,80,1,+
b,23.0,0.625,p,aa,bb,0.125,t,f,0,f,g,180,2,-
b,34.75,2.5,g,cc,v,0.5,f,f,0,f,g,348,1,-
b,56.58,18.5,g,d,v,15.0,t,t,17,t,g,0,1,+
a,44.17,6.665,g,q,bb,7.375,t,t,3,t,g,0,1,+
a,44.33,0.0,g,c,bb,2.5,t,f,0,f,g,0,1,+
b,34.25,1.75,g,w,v,0.25,t,f,0,t,g,163,1,-
a,45.0,4.585,g,k,h,1.0,f,f,0,t,s,240,1,-
b,30.58,2.71,p,m,bb,0.125,f,f,0,t,s,80,1,-
b,27.67,0.75,g,q,h,0.165,f,f,0,t,g,220,252,-
b,19.42,7.25,g,m,bb,0.04,f,t,1,f,g,100,2,-
a,41.33,1.0,g,i,v,2.25,t,f,0,t,g,0,301,+
a,23.5,1.5,g,w,bb,0.875,f,f,0,t,g,160,1,-
b,31.67,0.83,g,x,bb,1.335,t,t,8,t,g,303,3291,+
a,17.83,11.0,g,x,h,1.0,t,t,11,f,g,0,3001,+
a,33.17,2.25,p,cc,bb,3.5,f,f,0,t,g,200,142,-
a,52.5,7.0,g,aa,h,3.0,f,f,0,f,g,0,1,-
a,25.42,1.125,g,q,bb,1.29,t,t,2,f,g,200,1,-
b,40.58,1.5,g,i,v,0.0,f,f,0,f,s,300,1,-
b,23.92,0.585,p,cc,h,0.125,f,f,0,f,g,240,2,-
b,56.0,12.5,g,k,h,8.0,t,f,0,t,g,24,2029,+
a,28.5,3.04,p,x,h,2.54,t,t,1,f,g,70,1,+
b,32.08,4.0,g,m,bb,2.5,t,f,0,t,g,360,1,+
b,21.17,0.875,p,c,h,0.25,f,f,0,f,g,280,205,-
b,34.17,9.17,g,c,bb,4.5,t,t,12,t,g,0,222,+
b,43.25,25.21,g,q,h,0.21,t,t,1,f,g,760,91,-
a,38.25,6.0,g,k,bb,1.0,t,f,0,t,g,0,1,+
b,37.42,2.04,g,w,bb,0.04,t,f,0,t,g,400,5801,+
b,29.83,2.04,p,x,h,0.04,f,f,0,f,g,128,2,-
b,37.33,2.665,g,cc,bb,0.165,f,f,0,t,g,0,502,-
b,31.33,19.5,g,c,bb,7.0,t,t,16,f,g,0,5001,+
b,36.08,2.54,g,ff,ff,0.0,f,f,0,f,g,0,1001,-
b,20.5,2.415,g,c,bb,2.0,t,t,11,t,g,200,3001,+
b,47.17,5.835,g,w,bb,5.5,f,f,0,f,g,465,151,-
b,22.0,7.835,p,i,v,0.165,f,f,0,t,g,184,1,-
b,20.5,10.0,p,c,bb,2.5,t,f,0,f,s,40,1,+
b,34.92,2.5,g,w,bb,0.0,t,f,0,t,g,239,201,+
b,24.08,0.875,g,m,bb,0.085,f,t,4,f,g,254,1951,-
b,37.33,6.5,g,m,h,4.25,t,t,12,t,g,93,1,+
a,20.75,9.54,g,i,bb,0.04,f,f,0,f,g,200,1001,-
b,36.67,3.25,g,q,h,9.0,t,f,0,t,g,102,640,+
b,22.58,10.04,g,x,bb,0.04,t,t,9,f,g,60,397,+
a,26.92,13.5,g,q,h,5.0,t,t,2,f,g,0,5001,+
a,46.67,0.46,g,cc,h,0.415,t,t,11,t,g,440,7,+
a,52.17,0.0,p,ff,ff,0.0,f,f,0,f,g,0,1,-
b,39.17,2.5,p,i,h,10.0,f,f,0,t,s,200,1,-
b,39.17,1.625,g,c,bb,1.5,t,t,10,f,g,186,4701,+
a,27.67,2.04,g,w,bb,0.25,f,f,0,t,g,180,51,-
b,19.17,9.5,g,w,bb,1.5,t,f,0,f,g,120,2207,+
b,39.5,4.25,g,c,v,6.5,t,t,16,f,g,117,1211,+
b,36.42,0.75,p,d,bb,0.585,f,f,0,f,g,240,4,-
b,26.17,0.25,g,i,v,0.0,t,f,0,t,g,0,1,+
b,39.42,1.71,p,m,bb,0.165,f,f,0,f,s,400,1,-
b,41.92,0.42,g,c,h,0.21,t,t,6,f,g,220,949,+
b,21.33,7.5,g,aa,bb,1.415,t,t,1,f,g,80,9801,+
a,20.08,1.25,g,c,bb,0.0,f,f,0,f,g,0,1,-
a,27.58,3.0,g,m,bb,2.79,f,t,1,t,g,280,11,-
b,21.58,0.79,p,cc,bb,0.665,f,f,0,f,g,160,1,-
b,28.25,5.125,g,x,bb,4.75,t,t,2,f,g,420,8,+
b,26.92,2.25,g,i,v,0.5,f,f,0,t,g,640,4001,-
a,18.42,9.25,g,q,bb,1.21,t,t,4,f,g,60,541,+
a,23.25,5.875,g,q,bb,3.17,t,t,10,f,g,120,246,+
b,23.58,1.79,g,c,bb,0.54,f,f,0,t,g,136,2,-
b,28.33,5.0,g,w,bb,11.0,t,f,0,t,g,70,1,+
b,25.67,2.21,p,aa,bb,4.0,t,f,0,f,g,188,1,-
a,28.58,1.665,g,q,bb,2.415,t,f,0,t,g,440,1,-
b,22.92,3.165,p,c,bb,0.165,f,f,0,f,g,160,1059,-
a,24.5,1.04,p,ff,ff,0.5,t,t,3,f,g,180,148,-
b,24.75,0.54,g,m,bb,1.0,f,f,0,t,g,120,2,-
b,32.0,1.75,p,e,h,0.04,t,f,0,t,g,393,1,+
b,48.08,3.75,g,i,v,1.0,f,f,0,f,g,100,3,-
a,28.42,3.5,g,w,bb,0.835,t,f,0,f,s,280,1,+
b,25.42,0.54,g,w,bb,0.165,f,t,1,f,g,272,445,-
b,18.58,10.29,g,ff,ff,0.415,f,f,0,f,g,80,1,-
b,21.67,1.165,p,k,bb,2.5,t,t,1,f,g,180,21,-
b,24.58,1.25,g,c,bb,0.25,f,f,0,f,g,110,1,-
b,16.33,4.085,g,i,h,0.415,f,f,0,t,g,120,1,-
b,26.75,2.0,g,d,bb,0.75,f,f,0,t,g,80,1,-
b,48.17,3.5,g,aa,bb,3.5,t,f,0,f,s,230,1,+
b,23.5,2.75,g,ff,ff,4.5,f,f,0,f,g,160,26,-
a,41.0,2.04,p,q,h,0.125,t,t,23,t,g,455,1237,+
b,35.17,25.125,g,x,h,1.625,t,t,1,t,g,515,501,+
b,23.75,12.0,g,c,bb,2.085,f,f,0,f,s,80,1,-
b,18.67,5.0,g,q,bb,0.375,t,t,2,f,g,0,39,-
b,30.33,0.5,g,d,h,0.085,f,f,0,t,s,252,1,-
a,19.75,0.75,g,c,bb,0.795,t,t,5,t,g,140,6,-
b,26.17,0.835,g,cc,bb,1.165,f,f,0,f,g,100,1,-
b,28.75,1.5,p,c,bb,1.5,t,f,0,t,g,0,226,-
b,28.67,9.335,g,q,h,5.665,t,t,6,f,g,381,169,+
b,26.0,1.0,g,q,bb,1.75,t,f,0,t,g,280,1,+
b,23.5,3.165,p,k,bb,0.415,f,t,1,t,g,280,81,-
b,26.33,13.0,g,e,dd,0.0,f,f,0,t,g,140,1111,-
b,54.33,6.75,g,c,h,2.625,t,t,11,t,g,0,285,+
b,31.57,0.375,g,d,bb,0.875,t,f,0,t,s,928,1,-
a,25.25,12.5,g,d,bb,1.0,f,f,0,t,g,180,1063,-
b,33.17,3.165,p,x,bb,3.165,t,t,3,t,g,380,1,+
b,39.5,1.625,g,c,bb,1.5,f,f,0,f,g,0,317,-
a,17.67,0.0,p,j,ff,0.0,f,f,0,f,g,86,1,-
b,23.92,0.665,g,c,bb,0.165,f,f,0,f,g,100,1,+
b,26.67,2.71,p,cc,bb,5.25,t,t,1,f,g,211,1,+
a,22.5,0.415,g,i,bb,0.335,f,f,0,t,s,144,1,-
b,39.92,0.54,p,aa,bb,0.5,t,t,3,f,g,200,1001,+
a,26.08,8.665,g,aa,bb,1.415,t,f,0,f,g,160,151,+
b,20.0,0.0,g,d,bb,0.5,f,f,0,f,g,144,1,-
b,31.57,4.0,p,i,bb,0.085,f,f,0,t,g,411,1,-
b,26.75,4.5,p,c,v,2.5,f,f,0,f,g,200,1211,-
a,24.92,1.25,g,ff,ff,0.0,t,f,0,f,g,80,1,-
a,32.25,1.5,g,c,bb,0.25,f,f,0,t,g,372,123,-
b,17.67,4.46,g,c,bb,0.25,f,f,0,f,s,80,1,-
a,37.75,5.5,g,q,bb,0.125,t,f,0,t,g,228,1,+
b,22.67,2.54,p,c,h,2.585,t,f,0,f,g,0,1,+
a,17.92,10.21,g,ff,ff,0.0,f,f,0,f,g,0,51,-
b,24.42,12.335,g,q,h,1.585,t,f,0,t,g,120,1,+
a,25.75,0.5,g,c,h,0.875,t,f,0,t,g,491,1,+
b,26.17,12.5,p,k,h,1.25,f,f,0,t,g,0,18,-
a,22.75,6.165,g,aa,bb,0.165,f,f,0,f,g,220,1001,-
b,23.0,0.75,g,m,bb,0.5,t,f,0,t,s,320,1,-
b,25.67,0.29,p,c,bb,1.5,f,f,0,t,g,160,1,-
b,48.58,0.205,p,k,bb,0.25,t,t,11,f,g,380,2733,+
b,21.17,0.0,g,c,bb,0.5,f,f,0,t,s,0,1,-
b,35.25,16.5,p,c,bb,4.0,t,f,0,f,g,80,1,-
a,22.92,11.585,g,cc,bb,0.04,t,f,0,f,g,80,1350,+
a,48.17,1.335,g,i,o,0.335,f,f,0,f,g,0,121,-
b,43.0,0.29,p,cc,h,1.75,t,t,8,f,g,100,376,+
b,31.57,10.5,g,x,bb,6.5,t,f,0,f,g,0,1,+
b,20.67,0.415,g,c,bb,0.125,f,f,0,f,g,0,45,-
a,18.83,9.54,g,aa,bb,0.085,t,f,0,f,g,100,1,+
a,27.42,14.5,g,x,h,3.085,t,t,1,f,g,120,12,+
b,41.0,0.04,g,e,bb,0.04,f,t,1,f,s,560,1,+
