A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
24,lm,hm,3,islam,no,o2,hm,good,no-use
45,low,hm,10,islam,no,o3,high,good,no-use
43,lm,hm,7,islam,no,o3,high,good,no-use
42,hm,lm,9,islam,no,o3,hm,good,no-use
36,hm,hm,8,islam,no,o3,lm,good,no-use
19,high,high,0,islam,no,o3,hm,good,no-use
38,lm,hm,6,islam,no,o3,lm,good,no-use
21,hm,hm,1,islam,yes,o3,lm,good,no-use
27,lm,hm,3,islam,no,o3,high,good,no-use
45,low,low,8,islam,no,o2,lm,not-good,no-use
38,low,hm,2,islam,yes,o3,hm,not-good,no-use
42,low,high,4,islam,no,o1,hm,good,no-use
44,high,high,1,islam,yes,o1,high,good,no-use
42,lm,high,1,islam,yes,o3,hm,good,no-use
38,hm,high,2,islam,no,o2,hm,good,no-use
26,lm,high,0,islam,no,o4,low,good,no-use
48,low,low,7,islam,no,o2,high,good,no-use
39,lm,lm,6,islam,no,o2,high,good,no-use
37,lm,lm,8,islam,no,o2,hm,good,no-use
39,lm,low,5,islam,no,o2,low,not-good,no-use
26,hm,high,1,islam,yes,o4,low,good,no-use
24,hm,high,0,islam,yes,o3,low,good,no-use
46,high,high,1,non-islam,no,o1,high,good,no-use
39,high,high,1,islam,no,o1,high,good,no-use
48,high,high,5,islam,no,o1,high,good,no-use
40,lm,high,8,islam,no,o3,hm,good,no-use
38,high,high,1,islam,yes,o1,high,good,no-use
29,high,high,0,islam,yes,o1,high,good,no-use
24,high,high,0,islam,yes,o2,lm,good,no-use
43,low,lm,8,islam,no,o2,high,good,no-use
31,hm,high,2,islam,no,o1,high,good,no-use
31,high,high,2,islam,no,o3,lm,good,no-use
26,lm,high,0,islam,yes,o1,lm,good,no-use
33,lm,lm,2,islam,no,o3,low,good,no-use
24,lm,hm,1,islam,no,o3,hm,good,no-use
42,low,hm,9,islam,no,o3,lm,not-good,no-use
43,low,lm,8,islam,yes,o3,low,good,no-use
25,hm,hm,4,islam,no,o3,lm,good,no-use
42,lm,lm,3,islam,no,o3,high,good,no-use
28,lm,lm,1,islam,no,o2,high,good,no-use
28,low,low,3,islam,no,o3,low,good,no-use
47,lm,hm,0,islam,yes,o1,hm,good,no-use
48,lm,high,2,islam,no,o1,hm,good,no-use
40,high,high,2,non-islam,no,o1,high,good,no-use
28,lm,lm,1,islam,no,o3,lm,good,no-use
25,low,high,1,islam,no,o2,low,good,no-use
32,high,high,2,islam,no,o2,hm,good,no-use
45,high,high,0,islam,no,o2,high,good,no-use
26,high,high,1,islam,no,o1,high,good,no-use
26,high,high,0,islam,yes,o1,high,good,no-use
31,high,high,0,islam,yes,o1,high,good,no-use
49,high,high,7,non-islam,no,o2,high,good,no-use
40,hm,high,8,islam,no,o3,hm,good,no-use
34,high,high,1,non-islam,yes,o2,hm,good,no-use
36,lm,high,5,islam,no,o2,hm,good,no-use
20,lm,lm,2,islam,no,o2,lm,not-good,no-use
43,high,high,5,islam,yes,o1,high,good,no-use
37,hm,high,7,islam,no,o2,low,good,no-use
21,lm,hm,0,islam,no,o3,high,good,no-use
49,high,high,6,islam,no,o1,lm,good,no-use
42,hm,hm,10,islam,no,o3,hm,good,no-use
20,lm,hm,1,islam,no,o2,hm,good,no-use
47,low,lm,2,islam,yes,o1,hm,good,no-use
22,lm,hm,1,islam,no,o2,low,good,no-use
27,lm,high,1,islam,yes,o1,hm,good,no-use
24,lm,high,1,islam,no,o3,low,good,no-use
44,high,lm,8,islam,no,o3,hm,good,no-use
30,lm,hm,3,islam,no,o3,low,good,no-use
23,hm,high,2,islam,no,o3,high,good,no-use
25,high,high,1,islam,yes,o3,hm,good,no-use
47,lm,hm,4,islam,no,o2,hm,good,no-use
48,lm,hm,8,islam,no,o1,high,good,no-use
29,lm,hm,1,islam,no,o1,low,good,no-use
29,lm,hm,1,islam,no,o1,lm,good,no-use
21,hm,high,0,islam,no,o2,hm,good,no-use
21,hm,high,1,islam,no,o2,hm,good,no-use
29,high,high,0,islam,yes,o2,high,good,no-use
45,hm,high,3,islam,no,o1,high,good,no-use
33,lm,hm,2,islam,no,o3,lm,good,no-use
38,high,high,1,islam,yes,o1,high,good,no-use
24,high,high,0,non-islam,no,o1,high,good,no-use
49,high,high,6,non-islam,yes,o1,high,good,no-use
24,lm,high,1,islam,yes,o4,high,good,no-use
28,high,high,0,non-islam,yes,o1,high,good,no-use
30,high,high,2,islam,no,o1,high,good,no-use
33,high,high,2,islam,no,o1,high,good,no-use
25,high,high,1,islam,no,o1,hm,good,no-use
35,high,high,3,non-islam,no,o1,high,good,no-use
27,lm,high,4,islam,no,o1,high,good,no-use
24,lm,lm,3,islam,yes,o2,low,good,no-use
25,lm,hm,0,islam,no,o2,low,good,no-use
46,lm,high,6,islam,no,o1,high,good,no-use
26,lm,lm,3,islam,no,o2,low,good,no-use
38,lm,lm,1,islam,yes,o3,lm,good,no-use
47,low,lm,3,islam,no,o1,hm,good,no-use
41,low,hm,10,islam,no,o2,hm,not-good,no-use
41,lm,hm,1,islam,yes,o2,hm,good,no-use
28,high,high,5,islam,no,o2,low,good,no-use
17,lm,lm,3,islam,no,o3,low,good,no-use
27,lm,hm,5,islam,no,o2,low,good,no-use
27,low,lm,4,islam,no,o3,low,not-good,no-use
19,lm,hm,0,islam,yes,o2,lm,good,no-use
27,lm,high,3,islam,yes,o3,lm,good,no-use
26,high,hm,4,islam,no,o2,hm,good,no-use
23,lm,high,2,islam,no,o3,hm,good,no-use
40,hm,hm,3,islam,no,o3,lm,good,no-use
22,high,high,0,islam,no,o1,low,good,no-use
44,hm,high,4,islam,yes,o1,hm,good,no-use
29,lm,hm,2,islam,no,o3,low,good,no-use
26,lm,hm,3,islam,no,o3,low,good,no-use
45,high,high,1,islam,yes,o3,hm,good,no-use
32,hm,hm,7,islam,yes,o2,hm,good,no-use
21,high,high,1,islam,no,o1,high,good,no-use
31,lm,lm,4,islam,no,o3,hm,good,no-use
21,hm,high,0,islam,no,o1,hm,good,no-use
37,high,high,1,islam,no,o1,high,good,no-use
34,high,high,3,non-islam,yes,o3,hm,good,no-use
44,hm,high,1,islam,no,o1,hm,good,no-use
49,high,hm,5,islam,no,o2,hm,good,no-use
26,lm,hm,2,islam,no,o3,hm,good,no-use
38,low,lm,1,islam,no,o2,high,not-good,no-use
36,lm,hm,5,islam,no,o2,hm,good,no-use
26,hm,high,2,islam,no,o3,hm,good,no-use
20,lm,hm,1,non-islam,no,o3,lm,good,no-use
44,lm,low,3,islam,yes,o3,lm,good,no-use
31,hm,high,2,islam,no,o1,lm,not-good,no-use
45,high,high,1,islam,no,o1,hm,good,no-use
36,lm,hm,2,islam,no,o3,lm,not-good,no-use
43,low,hm,2,islam,yes,o2,lm,not-good,no-use
25,hm,high,0,islam,no,o1,hm,good,no-use
48,hm,high,3,islam,no,o3,low,good,no-use
30,high,high,0,non-islam,yes,o1,hm,good,no-use
48,low,lm,8,islam,no,o3,low,good,no-use
28,hm,high,1,islam,no,o3,low,not-good,no-use
26,high,high,1,islam,no,o1,hm,good,no-use
26,hm,hm,3,islam,yes,o2,high,good,no-use
24,high,high,2,islam,no,o3,hm,good,no-use
21,hm,hm,2,islam,no,o2,lm,good,no-use
30,high,high,2,non-islam,no,o3,low,good,no-use
20,high,high,1,islam,no,o1,high,good,no-use
33,high,high,2,islam,no,o1,hm,good,no-use
30,high,high,0,non-islam,yes,o3,hm,good,no-use
47,high,high,1,islam,yes,o1,hm,good,no-use
35,high,high,2,non-islam,no,o3,hm,good,no-use
30,lm,high,2,islam,no,o3,high,good,no-use
33,high,high,3,islam,no,o1,high,good,no-use
45,high,high,4,islam,no,o2,hm,good,no-use
41,high,high,2,islam,no,o1,high,good,no-use
32,high,high,1,islam,yes,o1,hm,good,no-use
43,high,high,5,islam,no,o1,high,good,no-use
44,high,high,3,islam,no,o2,high,good,no-use
21,low,hm,4,islam,no,o3,lm,good,no-use
44,hm,high,2,islam,no,o1,high,not-good,no-use
23,high,high,2,islam,no,o2,high,good,no-use
47,low,lm,4,islam,no,o2,lm,good,no-use
47,low,low,7,islam,no,o2,hm,not-good,no-use
35,high,high,2,islam,yes,o2,high,good,no-use
32,lm,high,4,islam,no,o3,lm,good,no-use
45,low,high,5,islam,no,o1,lm,not-good,no-use
22,lm,lm,2,islam,no,o3,low,good,no-use
23,low,low,3,islam,no,o2,low,not-good,no-use
30,high,high,0,islam,yes,o1,high,good,no-use
44,low,hm,0,islam,no,o2,hm,good,no-use
40,hm,hm,1,islam,yes,o3,hm,good,no-use
34,high,high,4,islam,no,o2,hm,good,no-use
37,hm,high,1,islam,no,o2,high,good,no-use
49,hm,high,5,islam,no,o1,high,good,no-use
26,high,high,1,islam,no,o1,high,good,no-use
22,high,high,0,islam,no,o2,high,good,no-use
20,hm,high,0,islam,yes,o2,high,good,no-use
47,high,high,4,islam,no,o1,high,good,no-use
49,lm,lm,8,islam,yes,o3,low,good,no-use
22,lm,high,1,islam,no,o2,high,good,no-use
22,hm,hm,2,islam,no,o3,high,good,no-use
25,hm,lm,2,islam,no,o3,lm,good,no-use
32,lm,high,0,islam,yes,o3,high,good,no-use
28,high,high,0,non-islam,no,o1,hm,good,no-use
30,lm,high,4,islam,yes,o1,high,good,no-use
45,lm,high,2,islam,yes,o2,high,good,no-use
49,lm,low,10,islam,yes,o2,high,good,no-use
34,high,high,2,islam,yes,o1,high,good,no-use
25,lm,high,1,islam,no,o2,lm,good,no-use
42,low,hm,12,islam,no,o3,hm,good,no-use
48,lm,low,3,islam,yes,o4,hm,good,no-use
35,hm,high,5,islam,yes,o2,lm,good,no-use
33,lm,hm,1,islam,no,o3,high,good,no-use
20,lm,high,0,islam,no,o3,lm,good,no-use
36,lm,hm,4,islam,no,o3,low,not-good,no-use
19,hm,hm,2,islam,no,o3,lm,good,no-use
27,hm,lm,3,islam,no,o3,lm,good,no-use
30,low,lm,4,islam,no,o4,low,good,no-use
31,hm,high,3,islam,yes,o3,lm,good,no-use
44,low,low,11,islam,no,o4,low,not-good,no-use
24,hm,hm,2,islam,no,o3,hm,good,no-use
18,hm,high,0,islam,yes,o3,low,good,no-use
45,low,lm,6,islam,no,o3,hm,not-good,no-use
25,lm,lm,3,islam,yes,o3,low,good,no-use
36,hm,high,6,islam,no,o2,high,good,no-use
30,low,low,5,islam,no,o2,lm,good,no-use
32,lm,high,2,islam,no,o3,hm,good,no-use
42,low,high,11,non-islam,no,o2,lm,not-good,no-use
22,lm,high,0,islam,no,o3,hm,good,no-use
36,lm,high,2,islam,yes,o2,high,good,no-use
27,lm,hm,2,islam,no,o3,hm,good,no-use
40,hm,high,1,islam,no,o1,lm,good,no-use
22,lm,hm,2,islam,no,o3,low,good,no-use
26,lm,high,0,islam,no,o3,low,good,no-use
31,hm,high,0,islam,yes,o2,hm,good,no-use
32,high,high,1,islam,no,o1,high,good,no-use
34,lm,hm,3,islam,yes,o3,lm,good,no-use
40,hm,hm,1,non-islam,no,o3,high,good,no-use
45,low,lm,1,islam,yes,o3,hm,good,no-use
26,hm,high,3,islam,no,o3,lm,good,no-use
48,low,hm,5,islam,no,o3,lm,good,no-use
43,low,hm,8,islam,no,o3,low,good,no-use
27,hm,high,2,islam,yes,o2,lm,good,no-use
42,hm,lm,1,islam,no,o3,hm,good,no-use
34,hm,lm,8,islam,yes,o2,hm,not-good,no-use
32,hm,lm,4,islam,no,o2,lm,not-good,no-use
31,hm,hm,2,islam,yes,o2,hm,good,no-use
22,lm,hm,1,islam,no,o3,hm,good,no-use
27,hm,high,0,islam,no,o3,hm,good,no-use
37,low,lm,2,islam,no,o2,lm,not-good,no-use
22,low,lm,0,islam,no,o2,high,good,no-use
47,high,high,4,islam,no,o1,high,good,no-use
32,high,high,4,islam,yes,o1,hm,good,no-use
37,hm,hm,2,islam,no,o1,high,good,no-use
45,low,hm,1,islam,no,o2,hm,not-good,no-use
47,low,high,8,islam,no,o3,hm,good,no-use
28,hm,high,0,islam,no,o3,lm,good,no-use
48,low,hm,4,islam,no,o3,high,not-good,no-use
26,lm,high,1,islam,no,o1,hm,good,no-use
21,hm,high,0,islam,yes,o3,low,good,no-use
20,lm,hm,1,islam,no,o2,high,good,no-use
39,low,low,5,islam,yes,o3,low,not-good,no-use
27,lm,hm,1,islam,yes,o3,high,good,no-use
37,lm,hm,5,islam,yes,o3,lm,good,no-use
24,high,high,1,islam,no,o3,hm,good,no-use
39,hm,hm,6,islam,no,o3,hm,good,no-use
20,hm,hm,1,islam,no,o2,hm,good,no-use
19,hm,high,1,islam,no,o2,hm,good,no-use
40,hm,hm,4,islam,no,o2,lm,good,no-use
41,low,high,4,islam,no,o3,hm,good,no-use
22,high,high,2,islam,no,o1,hm,good,no-use
32,hm,high,4,islam,no,o1,high,good,no-use
34,high,high,2,non-islam,no,o1,high,good,no-use
34,high,high,2,islam,yes,o1,hm,good,no-use
23,high,high,2,islam,no,o1,high,good,no-use
27,high,high,1,islam,no,o1,lm,good,no-use
46,hm,lm,11,islam,yes,o2,lm,not-good,no-use
34,high,high,3,non-islam,no,o1,lm,good,no-use
33,high,high,5,islam,no,o3,hm,good,no-use
25,hm,hm,1,islam,no,o3,lm,good,no-use
26,high,high,1,islam,yes,o1,high,good,no-use
48,low,hm,4,islam,no,o3,hm,not-good,no-use
36,high,high,2,islam,no,o3,hm,good,no-use
38,hm,high,2,non-islam,no,o2,high,good,no-use
44,low,lm,7,islam,no,o3,high,good,no-use
44,lm,lm,1,islam,yes,o3,lm,good,no-use
39,hm,hm,1,non-islam,no,o3,high,good,no-use
47,low,lm,7,islam,yes,o3,lm,good,no-use
43,low,hm,5,islam,yes,o3,lm,good,no-use
29,hm,hm,3,islam,yes,o2,high,good,no-use
22,hm,hm,0,islam,no,o2,lm,good,no-use
31,lm,high,5,islam,no,o3,lm,good,no-use
22,high,high,0,islam,no,o1,hm,good,no-use
45,hm,high,6,islam,no,o2,high,good,no-use
42,hm,high,10,islam,yes,o3,lm,good,no-use
38,hm,hm,7,islam,no,o3,low,good,no-use
47,low,low,6,islam,yes,o3,low,good,no-use
30,high,high,2,islam,no,o1,high,good,no-use
28,hm,high,1,islam,no,o3,high,good,no-use
25,hm,high,1,islam,no,o2,low,good,no-use
49,lm,high,6,non-islam,no,o2,hm,good,no-use
23,hm,high,2,islam,yes,o2,hm,good,no-use
35,hm,high,1,non-islam,no,o2,hm,good,no-use
47,lm,low,5,non-islam,no,o2,high,good,no-use
35,lm,hm,0,islam,no,o2,high,good,no-use
44,hm,high,6,islam,no,o3,high,good,no-use
48,high,high,3,islam,no,o2,high,good,no-use
43,lm,hm,6,islam,yes,o3,hm,good,no-use
21,lm,high,2,islam,no,o3,low,good,no-use
22,high,high,0,islam,no,o1,high,good,no-use
41,hm,hm,5,islam,no,o3,high,good,no-use
29,lm,high,2,islam,yes,o4,high,not-good,no-use
44,high,high,5,non-islam,no,o2,high,good,no-use
22,high,high,0,islam,yes,o1,high,good,no-use
23,lm,high,4,islam,no,o3,hm,good,no-use
22,lm,low,0,islam,no,o3,lm,good,no-use
35,low,hm,0,islam,no,o2,lm,not-good,no-use
24,high,high,1,islam,no,o2,lm,good,no-use
36,high,high,4,islam,no,o1,high,good,no-use
47,low,lm,2,islam,no,o2,high,good,no-use
40,high,high,3,islam,no,o3,high,good,no-use
29,high,high,1,islam,no,o1,hm,good,no-use
49,hm,high,6,islam,no,o1,high,good,no-use
49,hm,high,9,islam,no,o1,high,good,no-use
47,high,high,2,islam,no,o1,high,good,no-use
28,high,high,3,non-islam,no,o1,high,good,no-use
26,high,high,1,islam,no,o1,high,good,no-use
29,low,lm,7,islam,no,o2,high,good,no-use
29,high,lm,0,islam,yes,o2,lm,good,no-use
25,hm,hm,1,islam,no,o3,high,good,no-use
24,lm,high,2,islam,no,o3,high,good,no-use
23,high,high,1,islam,yes,o2,high,good,no-use
23,high,high,2,islam,yes,o3,hm,good,no-use
44,low,lm,2,islam,no,o2,high,good,no-use
39,hm,high,6,islam,no,o1,high,good,no-use
21,hm,hm,0,islam,no,o2,lm,good,no-use
22,hm,high,2,islam,no,o2,hm,good,no-use
47,hm,high,3,islam,no,o2,hm,good,no-use
36,hm,hm,2,islam,yes,o2,high,good,no-use
25,low,high,2,islam,yes,o3,hm,not-good,no-use
40,high,high,2,islam,no,o3,high,good,no-use
36,lm,lm,0,non-islam,yes,o3,hm,good,no-use
37,lm,hm,5,non-islam,yes,o2,high,good,no-use
28,low,high,2,islam,yes,o2,hm,good,no-use
30,hm,hm,5,islam,yes,o3,high,good,no-use
16,hm,high,1,islam,no,o3,hm,good,no-use
32,lm,hm,4,non-islam,no,o2,high,good,no-use
40,high,high,3,non-islam,no,o3,high,good,no-use
40,low,low,2,islam,yes,o3,high,good,no-use
45,hm,high,2,non-islam,no,o1,high,good,no-use
21,low,hm,0,islam,yes,o3,high,not-good,no-use
28,high,high,1,non-islam,no,o1,hm,good,no-use
25,high,high,1,non-islam,no,o2,hm,good,no-use
44,low,hm,4,islam,no,o3,hm,not-good,no-use
35,high,high,2,non-islam,no,o3,high,good,no-use
49,high,high,4,islam,no,o3,high,good,no-use
39,hm,high,1,non-islam,no,o3,high,good,no-use
32,hm,high,1,non-islam,no,o2,high,good,no-use
35,low,lm,0,islam,yes,o4,high,good,no-use
21,low,lm,1,islam,yes,o3,high,good,no-use
47,high,high,1,non-islam,no,o1,high,good,no-use
27,high,high,1,non-islam,no,o3,high,good,no-use
31,lm,lm,8,islam,no,o2,lm,not-good,no-use
34,high,hm,0,non-islam,yes,o3,hm,good,no-use
30,high,high,3,islam,yes,o2,high,good,no-use
25,high,high,0,islam,yes,o2,high,good,no-use
28,hm,high,3,islam,no,o2,low,good,no-use
30,lm,hm,4,islam,yes,o3,lm,good,no-use
42,hm,hm,8,islam,no,o4,hm,good,no-use
23,high,high,0,non-islam,no,o2,high,good,no-use
45,hm,high,3,non-islam,no,o3,high,good,no-use
21,high,high,1,islam,no,o3,hm,good,no-use
28,high,high,1,non-islam,no,o2,high,good,no-use
33,high,high,1,non-islam,yes,o3,high,good,no-use
32,low,lm,4,islam,no,o3,lm,not-good,no-use
25,lm,lm,3,islam,no,o3,hm,good,no-use
25,hm,hm,1,islam,no,o3,low,good,no-use
19,lm,lm,2,islam,no,o3,low,good,no-use
40,low,lm,6,islam,no,o3,low,not-good,no-use
24,lm,lm,2,islam,no,o3,low,not-good,no-use
32,lm,lm,1,islam,no,o2,low,good,no-use
35,lm,hm,8,islam,no,o3,lm,good,no-use
27,lm,lm,1,islam,yes,o3,lm,not-good,no-use
23,lm,high,2,islam,no,o1,high,good,no-use
22,lm,high,4,islam,no,o3,high,good,no-use
49,lm,hm,0,islam,no,o1,lm,good,no-use
25,lm,hm,0,islam,no,o2,high,good,no-use
18,hm,high,1,islam,no,o3,low,good,no-use
43,hm,hm,4,islam,no,o2,high,good,no-use
37,low,hm,0,islam,no,o3,high,good,no-use
30,lm,hm,2,islam,yes,o2,high,good,no-use
29,hm,lm,0,islam,no,o2,lm,good,no-use
20,lm,hm,3,islam,no,o3,high,good,no-use
42,hm,hm,3,islam,yes,o2,high,good,no-use
23,high,high,1,islam,no,o2,hm,good,no-use
34,lm,hm,7,islam,yes,o3,hm,good,no-use
23,hm,hm,6,islam,no,o3,hm,good,no-use
38,hm,hm,5,islam,no,o1,high,good,no-use
37,lm,hm,4,islam,no,o2,hm,good,no-use
17,lm,hm,1,islam,no,o3,lm,good,no-use
39,hm,high,3,islam,no,o1,high,good,no-use
49,low,hm,0,islam,no,o3,hm,not-good,no-use
23,hm,hm,2,islam,no,o2,lm,good,no-use
40,hm,hm,3,islam,no,o2,lm,not-good,no-use
32,lm,high,5,islam,no,o2,hm,good,no-use
18,lm,hm,1,islam,no,o2,hm,good,no-use
46,low,lm,8,islam,no,o3,hm,not-good,no-use
37,hm,hm,6,islam,no,o2,lm,good,no-use
38,lm,high,5,non-islam,no,o2,lm,good,no-use
37,lm,hm,2,non-islam,yes,o3,hm,good,no-use
25,lm,hm,1,islam,yes,o2,low,good,no-use
38,lm,high,5,islam,no,o3,hm,good,no-use
39,high,high,2,islam,yes,o1,high,good,no-use
44,high,high,3,islam,yes,o1,high,not-good,no-use
19,high,high,0,non-islam,no,o3,high,good,no-use
28,lm,high,1,islam,yes,o3,high,good,no-use
20,lm,hm,1,islam,no,o3,high,good,no-use
33,high,high,0,islam,yes,o3,hm,good,no-use
33,high,high,5,islam,no,o3,high,good,no-use
47,low,high,6,islam,no,o1,high,good,no-use
25,hm,hm,0,islam,no,o3,high,good,no-use
29,high,high,0,islam,yes,o2,high,good,no-use
37,high,high,2,non-islam,no,o1,high,good,no-use
49,low,hm,6,islam,no,o2,high,good,no-use
48,low,low,8,islam,yes,o2,lm,not-good,no-use
19,lm,lm,0,islam,no,o2,lm,good,no-use
46,low,lm,3,islam,no,o2,low,not-good,no-use
39,low,lm,2,islam,no,o3,low,not-good,no-use
30,hm,high,5,islam,no,o1,high,good,no-use
40,lm,lm,8,islam,no,o2,lm,good,no-use
43,low,lm,1,islam,no,o3,high,not-good,no-use
29,hm,high,4,islam,yes,o1,hm,good,no-use
23,hm,hm,2,islam,no,o3,hm,good,no-use
24,lm,lm,3,islam,no,o2,high,good,no-use
47,hm,hm,2,islam,no,o2,high,good,no-use
35,hm,hm,2,islam,yes,o2,lm,good,no-use
19,hm,hm,1,islam,no,o2,high,good,no-use
45,lm,hm,4,islam,yes,o2,high,good,no-use
42,lm,high,2,islam,no,o3,high,good,no-use
47,low,low,1,islam,no,o3,high,good,no-use
25,lm,lm,2,islam,no,o3,low,good,no-use
20,lm,hm,3,islam,no,o3,high,good,no-use
33,hm,hm,6,islam,no,o3,high,good,long-term
46,high,hm,5,islam,no,o1,high,good,long-term
35,high,high,4,islam,no,o1,high,good,long-term
26,high,high,2,islam,yes,o1,high,good,long-term
36,hm,hm,5,islam,yes,o1,hm,good,long-term
37,hm,high,3,islam,no,o1,hm,good,long-term
44,lm,high,4,islam,no,o3,hm,good,long-term
32,high,high,2,islam,no,o1,high,good,long-term
25,lm,high,6,islam,no,o3,high,good,long-term
42,lm,hm,7,islam,no,o3,high,good,long-term
30,high,high,2,non-islam,yes,o1,high,good,long-term
39,high,high,4,islam,no,o1,high,good,long-term
26,low,low,2,islam,no,o3,high,good,long-term
30,lm,high,3,islam,no,o3,high,good,long-term
38,high,high,4,non-islam,yes,o1,lm,good,long-term
23,high,high,1,islam,no,o1,lm,good,long-term
18,hm,high,1,islam,no,o3,high,good,long-term
25,hm,high,3,islam,no,o2,hm,good,long-term
37,high,high,2,islam,yes,o3,hm,good,long-term
20,hm,high,1,islam,no,o3,lm,good,long-term
45,high,high,7,islam,no,o1,high,good,long-term
28,lm,low,2,islam,yes,o3,hm,good,long-term
33,lm,lm,3,islam,no,o2,hm,good,long-term
28,lm,hm,2,islam,no,o3,hm,good,long-term
30,lm,high,1,islam,yes,o3,high,good,long-term
32,high,high,4,islam,no,o2,high,good,long-term
48,high,hm,7,islam,yes,o2,high,good,long-term
46,high,high,2,islam,yes,o1,high,good,long-term
32,high,high,2,non-islam,yes,o1,high,good,long-term
49,high,high,10,islam,no,o1,high,good,long-term
33,lm,lm,6,islam,yes,o3,high,good,long-term
39,high,high,3,islam,no,o1,high,good,long-term
35,high,high,5,non-islam,yes,o1,high,good,long-term
36,high,high,3,non-islam,no,o1,hm,good,long-term
20,hm,high,1,islam,no,o2,high,good,long-term
23,high,high,1,islam,no,o3,high,good,long-term
26,lm,high,2,islam,no,o1,hm,good,long-term
25,hm,hm,1,islam,no,o3,low,good,long-term
31,high,high,1,islam,no,o1,high,good,long-term
36,high,high,2,islam,no,o2,high,good,long-term
32,hm,hm,2,islam,yes,o3,high,good,long-term
36,high,high,3,islam,no,o1,high,good,long-term
40,high,high,3,islam,no,o1,high,good,long-term
46,high,high,4,islam,no,o1,high,good,long-term
42,high,high,8,non-islam,no,o1,high,good,long-term
39,high,high,4,islam,yes,o1,high,good,long-term
34,high,high,2,islam,no,o1,high,good,long-term
36,high,high,3,islam,no,o1,high,good,long-term
37,high,high,3,islam,no,o1,high,good,long-term
36,high,high,4,non-islam,no,o1,high,good,long-term
38,high,high,2,islam,no,o1,high,good,long-term
27,hm,hm,1,non-islam,yes,o2,high,good,long-term
37,high,hm,8,islam,no,o1,high,good,long-term
24,low,high,1,islam,yes,o4,lm,not-good,long-term
42,lm,high,8,islam,no,o1,high,good,long-term
31,high,high,3,non-islam,yes,o4,high,good,long-term
34,lm,hm,2,islam,no,o3,hm,good,long-term
34,high,high,4,islam,no,o3,hm,good,long-term
36,high,high,4,non-islam,yes,o1,high,good,long-term
47,high,high,8,islam,no,o1,high,good,long-term
34,high,high,3,islam,no,o1,high,good,long-term
44,high,high,6,non-islam,no,o1,hm,good,long-term
21,high,high,1,islam,no,o1,high,good,long-term
42,high,high,6,islam,no,o1,hm,good,long-term
44,high,high,4,islam,yes,o2,hm,good,long-term
19,high,high,1,islam,no,o2,hm,good,long-term
35,low,hm,7,islam,yes,o2,hm,not-good,long-term
24,high,high,1,islam,no,o3,lm,good,long-term
32,hm,high,7,non-islam,no,o1,hm,good,long-term
31,hm,hm,2,islam,yes,o3,hm,good,long-term
47,hm,high,11,islam,yes,o2,hm,good,long-term
38,high,high,6,islam,yes,o3,hm,good,long-term
40,high,high,4,islam,no,o1,hm,good,long-term
35,hm,hm,4,islam,no,o3,lm,good,long-term
26,hm,high,3,islam,no,o3,high,good,long-term
23,high,hm,3,islam,no,o3,hm,good,long-term
40,high,high,6,non-islam,yes,o1,high,good,long-term
37,high,high,3,islam,no,o1,high,good,long-term
39,high,high,5,islam,no,o2,high,good,long-term
25,high,high,2,islam,no,o2,high,good,long-term
48,high,high,4,non-islam,no,o1,high,good,long-term
31,high,high,3,islam,no,o1,high,good,long-term
26,high,high,1,non-islam,no,o2,high,good,long-term
44,high,high,5,islam,yes,o1,high,good,long-term
29,high,high,1,islam,yes,o2,high,good,long-term
36,lm,low,6,islam,no,o2,low,good,long-term
29,high,high,2,islam,yes,o1,hm,good,long-term
37,lm,hm,7,islam,no,o3,high,good,long-term
28,hm,hm,3,islam,no,o1,lm,good,long-term
40,lm,hm,6,islam,no,o1,lm,good,long-term
33,high,high,4,islam,no,o1,high,good,long-term
22,high,high,1,islam,no,o1,lm,good,long-term
35,hm,high,5,islam,yes,o1,hm,not-good,long-term
32,high,high,3,non-islam,no,o3,hm,good,long-term
