A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
35,high,high,5,islam,yes,o1,hm,good,long-term
29,high,high,2,islam,no,o1,high,good,long-term
23,hm,hm,2,islam,yes,o3,high,good,long-term
35,high,high,2,islam,yes,o1,high,good,long-term
36,high,high,3,islam,yes,o2,high,good,long-term
32,high,high,2,islam,yes,o1,high,good,long-term
30,high,low,4,islam,no,o3,hm,good,long-term
36,high,high,4,non-islam,no,o2,high,good,long-term
33,high,high,3,islam,no,o3,high,good,long-term
33,hm,high,5,non-islam,no,o3,hm,good,long-term
43,lm,high,13,islam,no,o2,hm,good,long-term
35,hm,hm,6,islam,no,o2,hm,good,long-term
38,high,high,5,islam,no,o1,hm,good,long-term
25,hm,low,4,islam,no,o3,low,good,long-term
26,hm,hm,2,islam,no,o3,lm,good,long-term
24,high,high,1,islam,no,o3,high,good,long-term
22,hm,high,1,islam,no,o4,high,good,long-term
33,lm,hm,5,islam,yes,o2,low,good,long-term
45,hm,hm,7,islam,no,o3,high,good,long-term
29,high,high,2,islam,yes,o1,hm,good,long-term
47,lm,lm,7,islam,no,o2,high,good,long-term
36,hm,lm,6,islam,no,o3,lm,good,long-term
45,hm,hm,8,islam,no,o2,hm,good,long-term
47,high,high,6,islam,yes,o1,high,good,long-term
43,hm,high,2,islam,yes,o2,high,good,long-term
44,high,high,7,islam,no,o3,lm,good,long-term
24,lm,high,2,islam,no,o3,hm,good,long-term
28,high,high,2,islam,yes,o1,hm,good,long-term
34,high,high,5,islam,no,o3,high,good,long-term
31,hm,high,4,islam,no,o1,hm,good,long-term
27,high,high,3,islam,no,o1,high,good,long-term
27,hm,hm,1,islam,yes,o3,high,good,long-term
26,high,high,1,islam,yes,o1,hm,good,long-term
36,hm,high,7,islam,no,o2,lm,good,long-term
35,high,high,4,non-islam,no,o3,hm,good,long-term
38,high,high,6,islam,no,o3,hm,good,long-term
44,high,high,7,islam,no,o2,high,good,long-term
25,high,high,1,islam,no,o1,high,good,long-term
25,high,high,2,non-islam,no,o1,hm,good,long-term
41,high,high,4,islam,no,o1,high,good,long-term
41,hm,high,5,islam,no,o1,hm,good,long-term
24,high,high,1,islam,yes,o1,high,good,long-term
33,high,high,3,islam,no,o3,hm,good,long-term
29,high,high,3,islam,yes,o3,hm,good,long-term
47,high,high,4,islam,yes,o1,high,good,long-term
28,high,high,4,islam,no,o1,hm,good,long-term
21,lm,lm,1,islam,no,o3,lm,good,long-term
32,hm,hm,6,islam,yes,o3,hm,good,long-term
30,hm,high,2,islam,no,o1,high,good,long-term
37,high,high,5,islam,no,o3,high,good,long-term
29,high,hm,4,islam,yes,o3,lm,good,long-term
38,high,high,3,islam,yes,o1,high,good,long-term
49,hm,hm,11,islam,no,o1,high,good,long-term
41,hm,hm,5,islam,no,o1,high,good,long-term
43,hm,high,5,islam,no,o3,lm,not-good,long-term
47,low,low,10,islam,no,o3,hm,good,long-term
22,high,high,1,islam,no,o1,hm,good,long-term
27,high,high,1,non-islam,yes,o1,high,good,long-term
34,hm,high,2,non-islam,no,o2,hm,good,long-term
42,hm,hm,4,islam,no,o2,high,good,long-term
39,high,high,3,non-islam,yes,o1,high,good,long-term
36,high,high,3,non-islam,no,o2,high,good,long-term
21,high,high,1,islam,no,o2,low,good,long-term
36,hm,high,4,non-islam,yes,o2,high,good,long-term
25,lm,hm,1,islam,yes,o4,high,good,long-term
41,high,high,4,non-islam,yes,o2,high,good,long-term
32,high,high,4,non-islam,yes,o2,high,good,long-term
41,high,high,4,non-islam,yes,o2,high,good,long-term
43,high,high,3,non-islam,no,o1,high,good,long-term
35,high,high,3,islam,no,o2,hm,good,long-term
24,high,high,2,islam,yes,o1,hm,good,long-term
43,high,high,6,islam,no,o1,high,good,long-term
48,high,high,7,non-islam,no,o1,high,good,long-term
28,high,high,2,islam,no,o1,hm,good,long-term
24,high,high,1,islam,no,o1,high,good,long-term
42,high,high,3,islam,yes,o1,high,good,long-term
39,high,high,3,islam,no,o1,high,good,long-term
24,high,high,1,islam,no,o1,high,good,long-term
33,high,hm,5,islam,no,o2,high,good,long-term
29,high,high,2,islam,no,o3,high,good,long-term
44,high,high,5,islam,no,o1,high,good,long-term
17,high,high,1,islam,no,o2,high,good,long-term
35,hm,high,3,islam,no,o2,lm,good,long-term
32,hm,high,5,islam,no,o1,lm,good,long-term
27,high,high,2,islam,yes,o1,hm,good,long-term
44,high,high,4,islam,no,o1,high,good,long-term
42,high,high,5,islam,no,o1,high,good,long-term
40,high,high,6,islam,no,o1,hm,good,long-term
44,high,high,3,islam,no,o1,high,good,long-term
33,high,high,5,islam,no,o2,high,good,long-term
35,lm,high,3,non-islam,yes,o3,high,not-good,long-term
31,high,lm,2,non-islam,no,o1,hm,good,long-term
37,high,high,3,non-islam,no,o3,high,good,long-term
45,high,high,3,non-islam,no,o2,high,good,long-term
26,high,high,2,non-islam,no,o1,high,good,long-term
40,hm,high,2,non-islam,no,o3,high,good,long-term
30,high,high,1,non-islam,no,o2,high,good,long-term
36,hm,high,3,non-islam,yes,o3,high,good,long-term
33,hm,high,3,non-islam,no,o2,high,good,long-term
41,high,high,5,non-islam,no,o2,high,good,long-term
45,hm,hm,6,non-islam,no,o2,high,good,long-term
48,high,high,6,non-islam,no,o2,high,good,long-term
35,high,high,3,non-islam,yes,o3,high,good,long-term
37,high,high,4,non-islam,yes,o2,high,good,long-term
46,high,high,3,non-islam,yes,o1,high,good,long-term
38,high,high,4,non-islam,no,o3,high,good,long-term
30,hm,high,7,islam,no,o2,high,good,long-term
42,high,hm,7,islam,yes,o1,high,good,long-term
35,lm,lm,6,islam,no,o3,high,good,long-term
34,high,high,6,islam,no,o3,high,good,long-term
37,high,high,4,islam,no,o1,high,good,long-term
38,high,high,6,islam,no,o1,high,good,long-term
30,hm,hm,2,islam,no,o2,hm,good,long-term
46,high,high,4,islam,no,o1,high,good,long-term
31,high,high,3,non-islam,no,o2,high,good,long-term
41,high,high,6,non-islam,no,o1,high,good,long-term
41,high,high,7,islam,no,o2,high,good,long-term
32,high,high,2,non-islam,yes,o2,high,good,long-term
44,high,high,4,islam,no,o1,high,good,long-term
39,high,high,4,non-islam,no,o1,high,good,long-term
39,high,high,5,islam,no,o1,high,good,long-term
45,high,high,4,islam,no,o1,high,good,long-term
33,high,high,3,islam,no,o1,high,good,long-term
39,high,high,3,non-islam,no,o1,high,good,long-term
44,high,high,3,islam,yes,o1,high,good,long-term
34,hm,hm,6,islam,no,o3,high,good,long-term
33,hm,hm,5,islam,no,o3,high,good,long-term
34,lm,lm,8,islam,no,o2,lm,good,long-term
27,hm,lm,5,islam,no,o2,high,good,long-term
47,low,low,8,islam,no,o3,high,not-good,long-term
25,lm,high,3,islam,no,o1,high,not-good,long-term
24,hm,high,5,islam,no,o1,lm,not-good,long-term
41,high,high,4,islam,yes,o1,high,good,long-term
29,hm,hm,4,islam,no,o3,high,good,short-term
27,lm,lm,5,islam,no,o3,low,good,short-term
40,hm,high,5,islam,no,o1,lm,good,short-term
30,lm,lm,6,islam,no,o3,low,good,short-term
24,high,high,1,islam,yes,o1,high,good,short-term
36,high,high,2,islam,yes,o1,high,good,short-term
17,lm,lm,1,islam,no,o3,lm,good,short-term
28,low,lm,4,islam,no,o2,hm,good,short-term
27,lm,high,1,islam,no,o1,high,good,short-term
21,hm,hm,1,islam,no,o3,hm,good,short-term
30,lm,lm,4,islam,no,o2,high,good,short-term
48,high,high,16,islam,no,o1,high,good,short-term
29,lm,high,3,islam,yes,o3,hm,good,short-term
29,high,high,2,islam,no,o3,high,good,short-term
20,hm,high,2,islam,no,o1,hm,good,short-term
28,high,high,1,islam,no,o3,lm,good,short-term
32,lm,hm,5,islam,yes,o2,hm,good,short-term
27,hm,hm,1,islam,yes,o3,hm,good,short-term
25,lm,hm,1,islam,no,o3,low,good,short-term
43,high,high,3,islam,no,o1,high,good,short-term
35,high,high,2,islam,no,o2,high,good,short-term
30,high,high,1,islam,no,o1,high,good,short-term
29,low,high,3,islam,no,o4,high,not-good,short-term
33,hm,high,8,islam,no,o3,high,good,short-term
37,hm,high,5,islam,yes,o2,high,good,short-term
27,lm,high,3,islam,no,o4,high,good,short-term
33,lm,high,3,islam,no,o2,high,good,short-term
35,lm,hm,6,islam,yes,o3,hm,good,short-term
20,hm,hm,2,islam,no,o2,high,good,short-term
26,lm,high,3,islam,no,o3,high,good,short-term
24,hm,hm,2,islam,no,o3,hm,good,short-term
45,low,hm,3,islam,no,o3,lm,good,short-term
34,hm,high,4,islam,no,o1,hm,good,short-term
49,high,hm,13,islam,no,o1,high,good,short-term
33,high,high,5,islam,no,o1,high,good,short-term
33,hm,hm,8,islam,no,o3,high,good,short-term
24,hm,high,3,islam,no,o1,high,good,short-term
30,lm,lm,4,islam,no,o2,low,good,short-term
27,lm,high,4,islam,no,o2,low,good,short-term
23,high,hm,1,islam,no,o2,lm,good,short-term
35,high,high,4,islam,no,o1,high,good,short-term
35,high,high,1,non-islam,no,o1,high,good,short-term
40,high,high,2,non-islam,yes,o1,high,good,short-term
29,hm,hm,1,islam,no,o3,hm,good,short-term
33,hm,hm,3,islam,no,o3,hm,good,short-term
36,high,high,6,non-islam,no,o1,lm,not-good,short-term
36,high,high,4,non-islam,no,o1,high,good,short-term
41,high,high,1,islam,no,o3,hm,good,short-term
38,hm,high,3,islam,no,o3,lm,good,short-term
29,lm,high,3,islam,no,o3,hm,good,short-term
19,high,high,1,islam,no,o1,hm,good,short-term
34,lm,hm,2,islam,no,o2,hm,good,short-term
26,lm,high,3,islam,no,o3,high,good,short-term
22,high,high,1,islam,no,o2,hm,good,short-term
42,high,high,7,islam,no,o2,high,good,short-term
27,hm,high,2,islam,no,o3,lm,good,short-term
27,high,high,2,islam,no,o1,high,good,short-term
39,high,hm,1,islam,yes,o2,lm,good,short-term
21,high,high,1,islam,no,o3,low,good,short-term
36,lm,hm,7,islam,no,o3,hm,good,short-term
29,low,lm,5,islam,yes,o1,lm,good,short-term
29,lm,hm,4,islam,no,o2,low,good,short-term
22,hm,lm,2,islam,no,o2,low,good,short-term
20,lm,hm,1,islam,no,o2,low,good,short-term
33,hm,high,4,islam,yes,o2,high,good,short-term
27,hm,hm,3,islam,no,o2,hm,good,short-term
25,high,high,3,islam,no,o1,high,good,short-term
25,high,hm,2,islam,no,o3,hm,good,short-term
32,lm,hm,4,islam,no,o3,lm,good,short-term
39,hm,high,2,islam,no,o1,hm,good,short-term
31,hm,hm,3,islam,no,o2,low,not-good,short-term
26,high,high,4,islam,no,o3,high,good,short-term
30,hm,hm,7,islam,no,o3,high,good,short-term
43,hm,hm,5,islam,yes,o3,hm,good,short-term
34,lm,high,4,islam,no,o3,hm,good,short-term
43,high,high,3,islam,no,o1,high,good,short-term
32,high,high,3,non-islam,no,o1,high,good,short-term
41,high,high,5,islam,no,o1,high,good,short-term
32,high,high,3,non-islam,no,o1,high,good,short-term
46,high,high,4,islam,no,o1,high,good,short-term
40,hm,high,3,islam,yes,o1,high,good,short-term
21,high,high,1,islam,no,o2,hm,good,short-term
32,high,high,3,islam,no,o1,high,good,short-term
25,high,high,1,non-islam,no,o3,hm,good,short-term
24,high,high,1,islam,no,o1,hm,good,short-term
21,lm,hm,1,islam,yes,o3,lm,good,short-term
22,high,high,1,islam,no,o3,hm,good,short-term
32,high,high,4,islam,no,o1,hm,good,short-term
30,high,high,2,islam,yes,o2,lm,good,short-term
25,low,lm,2,islam,no,o2,low,good,short-term
31,hm,hm,6,non-islam,no,o3,low,good,short-term
19,lm,high,1,islam,no,o2,hm,good,short-term
33,lm,lm,7,islam,yes,o2,hm,good,short-term
24,lm,lm,2,islam,no,o3,high,good,short-term
19,hm,hm,3,islam,no,o2,hm,good,short-term
27,lm,lm,5,islam,no,o3,hm,good,short-term
32,high,high,2,non-islam,yes,o1,high,good,short-term
32,high,high,2,islam,yes,o1,hm,good,short-term
29,low,hm,5,islam,no,o3,hm,good,short-term
23,hm,high,1,islam,no,o2,hm,good,short-term
34,lm,high,7,islam,no,o2,hm,good,short-term
27,lm,high,1,islam,no,o3,hm,good,short-term
37,high,high,4,islam,no,o3,lm,good,short-term
26,hm,high,4,islam,no,o2,hm,good,short-term
31,lm,hm,7,islam,no,o3,hm,good,short-term
44,high,high,11,islam,no,o1,high,good,short-term
35,hm,high,4,islam,no,o1,high,good,short-term
23,high,high,2,islam,no,o3,high,good,short-term
24,lm,high,2,islam,no,o1,high,good,short-term
24,high,high,2,islam,no,o1,high,good,short-term
39,high,high,3,islam,no,o2,high,good,short-term
33,hm,high,4,islam,no,o3,hm,good,short-term
24,lm,hm,2,islam,no,o2,low,good,short-term
35,high,high,4,islam,no,o1,high,good,short-term
35,high,high,6,islam,no,o1,high,good,short-term
34,high,high,2,islam,no,o3,hm,good,short-term
48,hm,high,3,islam,no,o2,hm,good,short-term
28,high,high,1,islam,no,o1,hm,good,short-term
26,high,high,1,islam,no,o3,hm,good,short-term
43,hm,hm,8,islam,no,o1,hm,good,short-term
28,lm,lm,5,islam,yes,o2,high,good,short-term
22,hm,high,3,islam,no,o2,hm,good,short-term
26,hm,hm,3,islam,no,o3,hm,good,short-term
30,hm,high,4,islam,no,o3,hm,good,short-term
38,high,high,5,islam,no,o2,hm,good,short-term
44,high,high,8,islam,no,o2,high,good,short-term
25,high,high,1,non-islam,no,o1,high,good,short-term
34,high,high,3,islam,no,o1,high,good,short-term
26,high,high,3,islam,no,o3,high,good,short-term
20,high,high,2,islam,no,o1,hm,good,short-term
39,high,high,2,non-islam,no,o1,hm,good,short-term
27,hm,high,4,islam,no,o3,hm,good,short-term
32,high,high,2,islam,yes,o3,high,good,short-term
48,hm,high,8,islam,yes,o1,high,good,short-term
39,high,hm,4,islam,no,o3,high,good,short-term
37,high,high,3,islam,yes,o1,high,good,short-term
33,high,high,2,non-islam,yes,o1,hm,good,short-term
32,high,high,3,islam,yes,o1,high,good,short-term
25,high,high,2,islam,no,o1,hm,good,short-term
37,high,high,3,islam,no,o2,high,good,short-term
40,high,high,4,islam,no,o1,high,good,short-term
38,high,high,6,islam,no,o2,high,good,short-term
36,high,high,4,islam,no,o1,high,good,short-term
27,hm,hm,3,islam,no,o2,lm,good,short-term
22,low,hm,2,islam,no,o3,low,good,short-term
22,lm,lm,2,islam,no,o2,hm,good,short-term
30,hm,high,3,islam,no,o2,hm,good,short-term
20,lm,lm,2,islam,no,o3,lm,not-good,short-term
34,high,high,2,islam,no,o1,high,good,short-term
31,hm,high,5,islam,no,o3,low,good,short-term
30,hm,hm,3,islam,yes,o3,lm,good,short-term
44,hm,high,5,islam,yes,o1,high,good,short-term
24,hm,hm,3,islam,yes,o2,low,good,short-term
19,high,high,2,islam,no,o1,high,good,short-term
28,high,high,5,islam,no,o2,high,good,short-term
27,high,high,1,non-islam,yes,o1,hm,good,short-term
29,hm,hm,3,islam,no,o2,low,good,short-term
37,high,high,3,islam,no,o2,high,good,short-term
32,lm,lm,8,islam,no,o2,low,good,short-term
21,lm,lm,1,islam,no,o4,hm,good,short-term
33,lm,hm,7,islam,yes,o3,low,good,short-term
23,lm,hm,2,islam,no,o3,low,good,short-term
36,lm,lm,5,islam,no,o3,high,good,short-term
33,lm,high,3,islam,no,o3,high,good,short-term
35,high,high,2,islam,yes,o1,high,good,short-term
25,lm,hm,4,islam,no,o3,hm,good,short-term
29,lm,high,4,islam,yes,o2,high,good,short-term
23,hm,hm,1,islam,no,o2,lm,good,short-term
19,hm,hm,1,islam,no,o2,low,good,short-term
35,low,lm,6,islam,no,o2,lm,not-good,short-term
25,hm,hm,3,islam,no,o3,lm,good,short-term
40,hm,high,6,islam,no,o1,hm,good,short-term
17,hm,high,1,islam,no,o2,low,good,short-term
25,lm,high,3,islam,no,o3,hm,good,short-term
24,hm,hm,1,islam,no,o3,lm,good,short-term
23,high,high,1,islam,no,o3,hm,good,short-term
25,lm,high,3,islam,no,o3,lm,good,short-term
30,low,hm,4,islam,no,o3,high,good,short-term
31,low,low,3,islam,no,o4,lm,not-good,short-term
26,hm,high,2,islam,no,o3,hm,good,short-term
28,hm,high,2,islam,no,o2,hm,good,short-term
30,hm,hm,3,islam,no,o3,low,good,short-term
29,hm,high,5,islam,no,o1,lm,good,short-term
24,low,hm,4,islam,no,o3,hm,good,short-term
26,hm,high,2,islam,no,o1,hm,good,short-term
25,hm,hm,3,islam,no,o3,hm,good,short-term
35,high,high,3,islam,no,o1,high,good,short-term
22,high,high,1,islam,yes,o2,high,good,short-term
19,high,high,1,islam,no,o2,high,good,short-term
29,lm,hm,5,islam,no,o2,high,good,short-term
21,hm,high,2,islam,no,o3,hm,good,short-term
21,hm,hm,1,islam,no,o3,hm,good,short-term
41,low,high,9,islam,no,o2,low,good,short-term
37,lm,high,3,islam,no,o2,hm,good,short-term
27,high,high,3,islam,no,o3,high,not-good,short-term
26,lm,hm,2,islam,no,o2,hm,good,short-term
37,high,high,6,islam,yes,o3,high,good,short-term
25,hm,hm,3,islam,no,o2,low,good,short-term
32,high,hm,3,islam,no,o2,high,good,short-term
34,low,high,4,islam,no,o3,high,not-good,short-term
23,high,high,2,islam,yes,o2,high,good,short-term
28,hm,high,2,islam,no,o3,high,good,short-term
24,hm,high,1,islam,no,o3,high,good,short-term
32,lm,hm,4,islam,yes,o2,lm,good,short-term
22,low,lm,3,islam,no,o3,low,not-good,short-term
25,hm,hm,1,islam,no,o2,low,good,short-term
25,lm,hm,2,islam,no,o2,high,good,short-term
38,lm,hm,3,islam,no,o2,high,good,short-term
33,lm,lm,2,islam,no,o3,high,good,short-term
41,high,high,8,islam,no,o1,high,good,short-term
29,hm,hm,4,islam,no,o3,high,good,short-term
22,hm,high,1,islam,yes,o1,high,good,short-term
29,hm,hm,6,islam,no,o3,hm,good,short-term
26,hm,high,3,islam,no,o3,hm,good,short-term
28,lm,hm,3,islam,no,o3,high,good,short-term
27,high,high,1,non-islam,no,o3,high,good,short-term
29,lm,high,2,islam,no,o3,lm,good,short-term
24,hm,high,2,islam,no,o3,hm,good,short-term
29,hm,high,3,islam,no,o3,lm,good,short-term
38,hm,high,7,islam,no,o3,lm,good,short-term
23,hm,lm,2,islam,yes,o3,lm,good,short-term
20,high,hm,1,islam,no,o3,high,good,short-term
32,low,high,4,islam,no,o3,lm,good,short-term
25,lm,hm,2,islam,no,o3,low,good,short-term
26,low,lm,3,islam,yes,o3,lm,good,short-term
23,low,lm,3,islam,no,o3,lm,not-good,short-term
23,high,high,3,islam,no,o3,hm,good,short-term
28,hm,high,5,islam,no,o2,high,good,short-term
22,high,high,3,islam,no,o3,lm,good,short-term
28,lm,high,4,islam,no,o3,high,good,short-term
26,hm,hm,3,islam,no,o3,hm,good,short-term
26,lm,hm,2,islam,no,o3,hm,good,short-term
24,high,hm,3,islam,no,o3,hm,good,short-term
29,high,high,3,islam,yes,o1,high,good,short-term
29,hm,high,4,islam,yes,o1,hm,good,short-term
42,high,high,5,islam,no,o1,high,good,short-term
27,high,high,2,islam,no,o3,high,good,short-term
35,hm,high,5,islam,no,o1,high,good,short-term
21,hm,high,1,islam,no,o3,lm,good,short-term
21,low,hm,1,islam,no,o3,hm,not-good,short-term
22,hm,high,1,islam,no,o3,hm,good,short-term
28,hm,hm,4,islam,no,o3,hm,good,short-term
22,hm,high,1,non-islam,yes,o1,high,good,short-term
23,hm,lm,1,islam,no,o3,hm,good,short-term
28,hm,hm,2,non-islam,no,o2,hm,good,short-term
30,high,high,3,non-islam,yes,o2,high,good,short-term
25,hm,high,3,islam,yes,o3,high,good,short-term
33,high,high,4,islam,no,o2,hm,good,short-term
33,hm,high,6,islam,no,o3,lm,good,short-term
30,high,high,2,non-islam,yes,o3,hm,good,short-term
22,lm,high,1,islam,no,o3,hm,good,short-term
38,hm,hm,2,non-islam,no,o3,high,good,short-term
35,high,hm,2,non-islam,no,o3,high,good,short-term
34,lm,lm,4,non-islam,no,o3,lm,good,short-term
39,high,high,2,non-islam,no,o3,high,good,short-term
47,high,hm,4,islam,no,o1,hm,good,short-term
38,high,high,2,islam,yes,o1,high,good,short-term
43,high,high,5,islam,no,o1,high,good,short-term
21,hm,hm,1,islam,no,o2,lm,good,short-term
30,hm,high,2,islam,no,o1,lm,good,short-term
27,hm,high,2,islam,no,o1,hm,good,short-term
22,high,high,1,non-islam,no,o3,low,good,short-term
25,low,lm,3,islam,no,o2,hm,good,short-term
22,low,hm,2,islam,no,o3,lm,good,short-term
28,high,high,4,islam,no,o2,hm,good,short-term
25,hm,hm,2,islam,no,o2,hm,good,short-term
26,high,high,2,islam,yes,o3,hm,good,short-term
31,hm,hm,3,islam,no,o3,low,not-good,short-term
32,low,hm,4,islam,no,o3,hm,good,short-term
35,lm,high,6,islam,no,o3,high,good,short-term
24,lm,hm,5,islam,no,o3,hm,good,short-term
28,high,high,2,islam,no,o1,high,good,short-term
36,high,high,3,non-islam,yes,o2,high,good,short-term
47,high,high,5,islam,no,o1,hm,good,short-term
26,high,high,2,islam,yes,o1,high,good,short-term
22,hm,high,2,non-islam,no,o3,high,good,short-term
30,high,high,2,islam,no,o4,hm,good,short-term
41,high,high,5,islam,no,o1,high,good,short-term
19,high,high,1,islam,no,o3,lm,good,short-term
45,hm,high,2,non-islam,no,o3,hm,good,short-term
35,low,lm,5,islam,no,o2,lm,not-good,short-term
21,lm,lm,1,islam,no,o3,lm,good,short-term
32,low,lm,6,non-islam,no,o2,hm,good,short-term
32,hm,high,5,non-islam,no,o3,high,good,short-term
46,lm,hm,6,non-islam,yes,o3,high,good,short-term
41,low,lm,6,islam,no,o3,hm,good,short-term
36,high,high,3,non-islam,no,o3,high,good,short-term
37,hm,high,3,non-islam,no,o3,high,good,short-term
37,hm,high,4,non-islam,no,o2,high,good,short-term
35,high,high,3,non-islam,no,o3,high,good,short-term
29,lm,hm,4,islam,no,o3,lm,good,short-term
28,high,high,2,non-islam,no,o2,high,good,short-term
46,high,high,4,non-islam,no,o1,high,good,short-term
34,high,hm,3,non-islam,no,o2,high,good,short-term
43,hm,hm,2,non-islam,yes,o3,high,good,short-term
28,high,high,3,non-islam,yes,o3,high,good,short-term
28,hm,hm,3,islam,yes,o2,high,good,short-term
34,high,high,6,islam,no,o2,lm,good,short-term
27,lm,high,4,islam,no,o3,high,good,short-term
36,low,hm,6,islam,no,o3,lm,good,short-term
17,lm,lm,0,islam,yes,o3,lm,good,short-term
21,hm,hm,1,islam,no,o3,lm,good,short-term
25,lm,lm,1,islam,no,o3,low,good,short-term
23,lm,hm,2,islam,yes,o3,lm,good,short-term
25,lm,lm,1,islam,no,o3,hm,good,short-term
35,low,lm,4,islam,yes,o4,high,good,short-term
32,hm,high,4,islam,no,o3,lm,good,short-term
37,lm,hm,5,islam,no,o4,lm,good,short-term
31,hm,high,4,islam,yes,o3,hm,good,short-term
25,hm,high,3,islam,no,o3,high,good,short-term
26,hm,high,4,islam,no,o2,high,good,short-term
39,low,lm,2,islam,yes,o2,high,good,short-term
21,hm,hm,2,islam,no,o2,hm,good,short-term
35,hm,lm,9,islam,yes,o3,high,good,short-term
20,lm,lm,1,islam,no,o3,lm,good,short-term
40,lm,hm,5,islam,no,o3,hm,good,short-term
41,hm,hm,7,non-islam,no,o2,high,good,short-term
36,lm,high,8,islam,no,o1,high,good,short-term
40,lm,high,3,non-islam,no,o3,high,good,short-term
32,high,high,3,islam,yes,o1,high,good,short-term
24,hm,high,4,islam,no,o2,hm,good,short-term
20,hm,high,1,non-islam,no,o2,high,good,short-term
32,high,high,4,islam,yes,o1,high,good,short-term
22,lm,lm,3,islam,yes,o3,hm,good,short-term
30,hm,hm,4,islam,yes,o2,lm,good,short-term
31,high,high,3,islam,yes,o1,high,good,short-term
35,hm,high,5,islam,no,o1,high,good,short-term
38,high,high,2,islam,no,o3,high,good,short-term
31,high,high,1,islam,no,o1,high,good,short-term
25,high,high,2,islam,no,o2,high,good,short-term
30,high,high,2,islam,no,o1,high,good,short-term
22,low,lm,2,islam,no,o3,high,good,short-term
31,high,high,3,islam,no,o1,high,good,short-term
29,high,high,3,islam,no,o3,high,good,short-term
29,lm,hm,3,islam,yes,o3,lm,good,short-term
38,high,high,3,non-islam,yes,o3,hm,not-good,short-term
22,hm,high,2,islam,no,o2,high,good,short-term
45,high,high,3,islam,no,o1,high,good,short-term
26,hm,high,3,islam,no,o3,lm,good,short-term
37,high,high,3,non-islam,no,o3,high,good,short-term
